Countries,Year(s),"Agriculture, Fishery & Forestry",Manufacturing ,Construction,"Whole sales & Retail Trade, Restaurants, & Hotels","Transportation, Storage, Communication","Finance, Insurance, Real Estate and Business Services",Public Services,"Others (Mining & Quarrying, Electricity, Gas & Water, Unknown)"
Indonesia,2012,16,35.1,13.9,6.1,20.9,4.5,2.4,15.4,1.7
Malaysia,2012,21,12.6,17.5,9.1,24.2,6.5,5.5,22.8,1.8
Singapura,2012,15,,14.1,5.1,21.3,13.5,21.6,23,1.3
Indonesia,2013,15,34.8,13.3,5.6,21.4,4.5,2.6,16.4,1.5
Malaysia,2013,20,12.7,16.8,9.4,24.5,6.2,5.3,22,3.2
Singapura,2013,14.5,,13.6,5,21.3,13.8,21.4,23.6,1.3
Indonesia,2014,14.19999981,34,13.3,6.4,21.7,4.5,2.6,16.1,1.5
Malaysia,2014,19.5,12.3,16.7,9.1,25,5.9,10.2,18,2.8
Singapura,2014,13.19999981,30.8,8.1,6.6,23.4,8,5.1,17.2,0.8
